Date,coronavirus-cases-linear,coronavirus-cases-log,graph-cases-daily,graph-active-cases-total,coronavirus-deaths-linear,coronavirus-deaths-log,graph-deaths-daily
Feb 15, 2020,0,0,,0,0,0,
Feb 16, 2020,0,0,,0,0,0,
Feb 17, 2020,0,0,,0,0,0,
Feb 18, 2020,0,0,,0,0,0,
Feb 19, 2020,0,0,,0,0,0,
Feb 20, 2020,0,0,,0,0,0,
Feb 21, 2020,0,0,,0,0,0,
Feb 22, 2020,0,0,,0,0,0,
Feb 23, 2020,0,0,,0,0,0,
Feb 24, 2020,0,0,,0,0,0,
Feb 25, 2020,0,0,,0,0,0,
Feb 26, 2020,0,0,,0,0,0,
Feb 27, 2020,0,0,,0,0,0,
Feb 28, 2020,0,0,,0,0,0,
Feb 29, 2020,0,0,,0,0,0,
Mar 01, 2020,0,0,,0,0,0,
Mar 02, 2020,2,2,,2,0,0,
Mar 03, 2020,2,2,0,2,0,0,0
Mar 04, 2020,2,2,0,2,0,0,0
Mar 05, 2020,2,2,0,2,0,0,0
Mar 06, 2020,4,4,2,4,0,0,0
Mar 07, 2020,4,4,0,4,0,0,0
Mar 08, 2020,6,6,2,6,0,0,0
Mar 09, 2020,19,19,13,19,0,0,0
Mar 10, 2020,27,27,8,25,0,0,0
Mar 11, 2020,34,34,7,31,1,1,1
Mar 12, 2020,34,34,0,30,1,1,0
Mar 13, 2020,69,69,35,60,4,4,3
Mar 14, 2020,96,96,27,83,5,5,1
Mar 15, 2020,117,117,21,104,5,5,0
Mar 16, 2020,134,134,17,121,5,5,0
Mar 17, 2020,172,172,38,156,7,7,2
Mar 18, 2020,227,227,55,197,19,19,12
Mar 19, 2020,309,309,82,269,25,25,6
Mar 20, 2020,369,369,60,320,32,32,7
Mar 21, 2020,450,450,81,392,38,38,6
Mar 22, 2020,514,514,64,437,48,48,10
Mar 23, 2020,579,579,65,500,49,49,1
Mar 24, 2020,686,686,107,601,55,55,6
Mar 25, 2020,790,790,104,701,58,58,3
Mar 26, 2020,893,893,103,780,78,78,20
Mar 27, 2020,1046,1046,153,913,87,87,9
Mar 28, 2020,1155,1155,109,994,102,102,15
Mar 29, 2020,1285,1285,130,1107,114,114,12
Mar 30, 2020,1414,1414,129,1217,122,122,8
Mar 31, 2020,1528,1528,114,1311,136,136,14
Apr 01, 2020,1677,1677,149,1417,157,157,21
Apr 02, 2020,1790,1790,113,1508,170,170,13
Apr 03, 2020,1986,1986,196,1671,181,181,11
Apr 04, 2020,2092,2092,106,1751,191,191,10
Apr 05, 2020,2273,2273,181,1911,198,198,7
Apr 06, 2020,2491,2491,218,2090,209,209,11
Apr 07, 2020,2738,2738,247,2313,221,221,12
Apr 08, 2020,2956,2956,218,2494,240,240,19
Apr 09, 2020,3293,3293,337,2761,280,280,40
Apr 10, 2020,3512,3512,219,2924,306,306,26
Apr 11, 2020,3842,3842,330,3229,327,327,21
Apr 12, 2020,4241,4241,399,3509,373,373,46
Apr 13, 2020,4557,4557,316,3778,399,399,26
Apr 14, 2020,4839,4839,282,3954,459,459,60
Apr 15, 2020,5136,5136,297,4221,469,469,10
Apr 16, 2020,5516,5516,380,4472,496,496,27
Apr 17, 2020,5923,5923,407,4796,520,520,24
Apr 18, 2020,6248,6248,325,5082,535,535,15
Apr 19, 2020,6575,6575,327,5307,582,582,47
Apr 20, 2020,6760,6760,185,5423,590,590,8
Apr 21, 2020,7135,7135,375,5677,616,616,26
Apr 22, 2020,7418,7418,283,5870,635,635,19
Apr 23, 2020,7775,7775,357,6168,647,647,12
Apr 24, 2020,8211,8211,436,6520,689,689,42
Apr 25, 2020,8607,8607,396,6845,720,720,31
Apr 26, 2020,8882,8882,275,7032,743,743,23
Apr 27, 2020,9096,9096,214,7180,765,765,22
Apr 28, 2020,9511,9511,415,7484,773,773,8
Apr 29, 2020,9771,9771,260,7596,784,784,11
Apr 30, 2020,10118,10118,347,7804,792,792,8
May 01, 2020,10551,10551,433,8160,800,800,8
May 02, 2020,10843,10843,292,8347,831,831,31
May 03, 2020,11192,11192,349,8471,845,845,14
May 04, 2020,11587,11587,395,8769,864,864,19
May 05, 2020,12071,12071,484,9002,872,872,8
May 06, 2020,12438,12438,367,9226,895,895,23
May 07, 2020,12776,12776,338,9465,930,930,35
May 08, 2020,13112,13112,336,9675,943,943,13
May 09, 2020,13645,13645,533,10079,959,959,16
May 10, 2020,14032,14032,387,10361,973,973,14
May 11, 2020,14265,14265,233,10393,991,991,18
May 12, 2020,14749,14749,484,10679,1007,1007,16
May 13, 2020,15438,15438,689,11123,1028,1028,21
May 14, 2020,16006,16006,568,11445,1043,1043,15
May 15, 2020,16496,16496,490,11617,1076,1076,33
May 16, 2020,17025,17025,529,12025,1089,1089,13
May 17, 2020,17514,17514,489,12237,1148,1148,59
May 18, 2020,18010,18010,496,12495,1191,1191,43
May 19, 2020,18496,18496,486,12808,1221,1221,30
May 20, 2020,19189,19189,693,13372,1242,1242,21
May 21, 2020,20162,20162,973,14046,1278,1278,36
May 22, 2020,20796,20796,634,14413,1326,1326,48
May 23, 2020,21745,21745,949,15145,1351,1351,25
May 24, 2020,22271,22271,526,15497,1372,1372,21
May 25, 2020,22750,22750,479,15717,1391,1391,19
May 26, 2020,23165,23165,415,15870,1418,1418,27
May 27, 2020,23851,23851,686,16321,1473,1473,55
May 28, 2020,24538,24538,687,16802,1496,1496,23
May 29, 2020,25216,25216,678,17204,1520,1520,24
May 30, 2020,25773,25773,557,17185,1573,1573,53
May 31, 2020,26473,26473,700,17552,1613,1613,40
Jun 01, 2020,26940,26940,467,17662,1641,1641,28
Jun 02, 2020,27549,27549,609,17951,1663,1663,22
Jun 03, 2020,28233,28233,684,18129,1698,1698,35
Jun 04, 2020,28818,28818,585,18205,1721,1721,23
Jun 05, 2020,29521,29521,703,18308,1770,1770,49
Jun 06, 2020,30514,30514,993,18806,1801,1801,31
Jun 07, 2020,31186,31186,672,18837,1851,1851,50
Jun 08, 2020,32033,32033,847,19246,1883,1883,32
Jun 09, 2020,33076,33076,1043,19739,1923,1923,40
Jun 10, 2020,34316,34316,1240,20228,1959,1959,36
Jun 11, 2020,35295,35295,979,20659,2000,2000,41
Jun 12, 2020,36406,36406,1111,21145,2048,2048,48
Jun 13, 2020,37420,37420,1014,21553,2091,2091,43
Jun 14, 2020,38277,38277,857,21612,2134,2134,43
Jun 15, 2020,39294,39294,1017,21973,2198,2198,64
Jun 16, 2020,40400,40400,1106,22466,2231,2231,33
Jun 17, 2020,41431,41431,1031,22912,2276,2276,45
Jun 18, 2020,42762,42762,1331,23625,2339,2339,63
Jun 19, 2020,43803,43803,1041,24081,2373,2373,34
Jun 20, 2020,45029,45029,1226,24717,2429,2429,56
Jun 21, 2020,45891,45891,862,25022,2465,2465,36
Jun 22, 2020,46845,46845,954,25610,2500,2500,35
Jun 23, 2020,47896,47896,1051,26120,2535,2535,35
Jun 24, 2020,49009,49009,1113,26778,2573,2573,38
